vdes_x,vdes_y,vdes_z,vcur_x,vcur_y,vcur_z,fdes_x,fdes_y,fdes_z,fcur_x,fcur_y,fcur_z
0.00078904,0.00000000,0.00000000,0.00458358,0.00169921,0.00432423,0.00000000,0.00000000,6.00000000,-7.78456140,0.04639099,18.93463301
0.00099876,0.00000000,0.00000000,-0.00220814,0.00124503,-0.00422156,0.00000000,0.00000000,6.00000000,-7.78302945,0.04639879,18.93634442
0.00120812,0.00000000,0.00000000,-0.00638320,0.00091165,-0.00561577,0.00000000,0.00000000,6.00000000,-7.78193461,0.04640324,18.93708022
0.00141715,0.00000000,0.00000000,-0.02419130,0.00376277,-0.01663876,0.00000000,0.00000000,6.00000000,-7.77733514,0.04600561,18.94050881
0.00162701,0.00000000,0.00000000,-0.03246524,0.00913395,-0.02218080,0.00000000,0.00000000,6.00000000,-7.77383170,0.04531967,18.94320159
0.00183634,0.00000000,0.00000000,-0.03857811,0.00360008,-0.02627747,0.00000000,0.00000000,6.00000000,-7.77032824,0.04575194,18.94589932
0.00204521,0.00000000,0.00000000,-0.04311673,0.00904046,-0.02930096,0.00000000,0.00000000,6.00000000,-7.76682382,0.04506646,18.94859214
0.00225501,0.00000000,0.00000000,-0.03604096,0.00354822,-0.02160407,0.00000000,0.00000000,6.00000000,-7.76594897,0.04548632,18.94884299
0.00246442,0.00000000,0.00000000,-0.03085413,0.00570619,-0.01594211,0.00000000,0.00000000,6.00000000,-7.76507199,0.04507219,18.94908894
0.00267714,0.00000000,0.00000000,-0.02186919,0.00096360,-0.00691594,0.00000000,0.00000000,6.00000000,-7.76550905,0.04535243,18.94811382
0.00288431,0.00000000,0.00000000,-0.01608029,0.00070853,-0.00508525,0.00000000,0.00000000,6.00000000,-7.76550905,0.04535243,18.94811382
0.00309312,0.00000000,0.00000000,-0.01536261,0.00692460,0.00110572,0.00000000,0.00000000,6.00000000,-7.76507242,0.04465132,18.94738464
0.00330237,0.00000000,0.00000000,-0.02041010,0.00198033,-0.00175359,0.00000000,0.00000000,6.00000000,-7.76310272,0.04507570,18.94837167
0.00351181,0.00000000,0.00000000,-0.02887582,0.00454133,-0.00634727,0.00000000,0.00000000,6.00000000,-7.76003582,0.04467078,18.95008999
0.00372143,0.00000000,0.00000000,-0.03509616,0.00642249,-0.00971794,0.00000000,0.00000000,6.00000000,-7.75696896,0.04426594,18.95180850
0.00393045,0.00000000,0.00000000,-0.04448753,0.00781006,-0.01470964,0.00000000,0.00000000,6.00000000,-7.75280700,0.04386577,18.95426343
0.00414060,0.00000000,0.00000000,-0.03745420,0.00573821,-0.01330201,0.00000000,0.00000000,6.00000000,-7.75171185,0.04387037,18.95499970
0.00434852,0.00000000,0.00000000,-0.03673647,0.01064541,-0.01235157,0.00000000,0.00000000,6.00000000,-7.74974177,0.04317805,18.95598235
0.00455783,0.00000000,0.00000000,-0.03135810,0.00472415,-0.00913902,0.00000000,0.00000000,6.00000000,-7.74886756,0.04359776,18.95623374
0.00476685,0.00000000,0.00000000,-0.02222362,0.00018449,-0.00182883,0.00000000,0.00000000,6.00000000,-7.74930556,0.04387739,18.95525883
0.00497694,0.00000000,0.00000000,-0.02067990,0.00648676,-0.00139838,0.00000000,0.00000000,6.00000000,-7.74843077,0.04318055,18.95550525
0.00518448,0.00000000,0.00000000,-0.01959128,0.00163821,-0.00108635,0.00000000,0.00000000,6.00000000,-7.74755666,0.04360024,18.95575670
0.00539418,0.00000000,0.00000000,-0.01915999,0.00119994,-0.00329100,0.00000000,0.00000000,6.00000000,-7.74646164,0.04360488,18.95649314
0.00560353,0.00000000,0.00000000,-0.02320268,0.00397059,-0.00496816,0.00000000,0.00000000,6.00000000,-7.74449033,0.04319576,18.95747611
0.00581241,0.00000000,0.00000000,-0.03095908,-0.00019735,-0.00870689,0.00000000,0.00000000,6.00000000,-7.74142626,0.04362467,18.95920072
0.00602164,0.00000000,0.00000000,-0.03188073,0.00294290,-0.00894634,0.00000000,0.00000000,6.00000000,-7.73945507,0.04321561,18.96018393
0.00623066,0.00000000,0.00000000,-0.03298382,0.00215456,-0.01156942,0.00000000,0.00000000,6.00000000,-7.73726491,0.04322492,18.96165710
0.00643971,0.00000000,0.00000000,-0.03378637,0.00157492,-0.01349128,0.00000000,0.00000000,6.00000000,-7.73507466,0.04323423,18.96313032
0.00664864,0.00000000,0.00000000,-0.02484292,0.00115803,-0.00992006,0.00000000,0.00000000,6.00000000,-7.73507466,0.04323423,18.96313032
0.00685756,0.00000000,0.00000000,-0.01744571,0.00705197,-0.00240696,0.00000000,0.00000000,6.00000000,-7.73551286,0.04239765,18.96215061
0.00706649,0.00000000,0.00000000,-0.01282773,0.00518528,-0.00176982,0.00000000,0.00000000,6.00000000,-7.73551286,0.04239765,18.96215061
0.00727545,0.00000000,0.00000000,-0.00943215,0.00381270,-0.00130134,0.00000000,0.00000000,6.00000000,-7.73551286,0.04239765,18.96215061
0.00748443,0.00000000,0.00000000,-0.01128292,-0.00029934,-0.00101209,0.00000000,0.00000000,6.00000000,-7.73463914,0.04281721,18.96240244
0.00769312,0.00000000,0.00000000,-0.01265664,0.00287697,-0.00079507,0.00000000,0.00000000,6.00000000,-7.73376321,0.04240361,18.96264927
0.00790326,0.00000000,0.00000000,-0.01404206,0.00211071,-0.00306127,0.00000000,0.00000000,6.00000000,-7.73266818,0.04240829,18.96338598
0.00811152,0.00000000,0.00000000,-0.01510614,0.00154724,-0.00475064,0.00000000,0.00000000,6.00000000,-7.73157313,0.04241297,18.96412271
0.00832121,0.00000000,0.00000000,-0.01585314,0.00113296,-0.00597366,0.00000000,0.00000000,6.00000000,-7.73047806,0.04241765,18.96485945
